2026-04-27 08:51:43.955 INFO  [http-nio-8081-exec-6] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 08:51:50.397 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 08:51:52.129 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 08:51:56.849 INFO  [http-nio-8081-exec-1] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 08:52:14.533 INFO  [http-nio-8081-exec-5] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 08:52:16.410 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:01:35.940 INFO  [http-nio-8081-exec-6] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:01:38.253 INFO  [http-nio-8081-exec-2] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:01:40.857 INFO  [http-nio-8081-exec-2] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:35:23.896 INFO  [http-nio-8081-exec-7] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 09:35:23.907 INFO  [http-nio-8081-exec-7] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 09:35:23.910 INFO  [http-nio-8081-exec-9] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:35:38.814 INFO  [http-nio-8081-exec-7] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:36:11.300 INFO  [http-nio-8081-exec-1] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:36:25.917 INFO  [http-nio-8081-exec-9] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:40:02.763 WARN  [http-nio-8081-exec-7] org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver - Resolved [org.hibernate.LazyInitializationException: could not initialize proxy [club.taekwondo.entity.jpa.Utilisateur#6] - no Session]
2026-04-27 09:40:12.997 WARN  [http-nio-8081-exec-9] org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver - Resolved [org.hibernate.LazyInitializationException: could not initialize proxy [club.taekwondo.entity.jpa.Utilisateur#10] - no Session]
2026-04-27 09:45:38.092 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-27 09:45:38.105 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-27 09:45:38.107 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-27 09:45:53.728 INFO  [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-27 09:45:53.789 INFO  [restartedMain] club.taekwondo.ClubTaekwondoApplication - Starting ClubTaekwondoApplication using Java 21.0.8 with PID 10688 (C:\Users\ag\Desktop\autre\ProjetTaekwondo\backend-club-taekwondo\target\classes started by AG in C:\Users\ag\Desktop\autre\ProjetTaekwondo\backend-club-taekwondo)
2026-04-27 09:45:53.789 INFO  [restartedMain] club.taekwondo.ClubTaekwondoApplication - The following 1 profile is active: "local"
2026-04-27 09:45:53.842 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-04-27 09:45:53.842 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-04-27 09:45:54.624 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-27 09:45:54.724 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 21 JPA repository interfaces.
2026-04-27 09:45:55.346 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-04-27 09:45:55.352 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-04-27 09:45:55.361 INFO  [restartedMain] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-27 09:45:55.361 INFO  [restartedMain] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2026-04-27 09:45:55.411 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-27 09:45:55.411 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1568 ms
2026-04-27 09:45:55.547 INFO  [restartedMain] org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-27 09:45:55.622 INFO  [restartedMain] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.10.Final
2026-04-27 09:45:55.656 INFO  [restartedMain] org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-04-27 09:45:55.922 INFO  [restartedMain] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-27 09:45:55.953 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-27 09:45:56.259 INFO  [restartedMain] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@17b13bbb
2026-04-27 09:45:56.259 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-27 09:45:57.546 INFO  [restartedMain] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-27 09:45:57.850 INFO  [restartedMain] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-27 09:45:58.124 INFO  [restartedMain] org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-04-27 09:45:59.202 INFO  [restartedMain] club.taekwondo.service.StripeService - [STRIPE] cle API configuree.
2026-04-27 09:45:59.335 WARN  [restartedMain] club.taekwondo.controller.StripeWebhookController - [STRIPE] secret webhook non configure en local. Les webhooks seront rejetes.
2026-04-27 09:45:59.922 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-04-27 09:45:59.936 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-04-27 09:45:59.954 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-04-27 09:45:59.957 INFO  [restartedMain] club.taekwondo.ClubTaekwondoApplication - Started ClubTaekwondoApplication in 6.696 seconds (process running for 7.186)
2026-04-27 09:46:00.032 INFO  [restartedMain] club.taekwondo.config.ClubDataBootstrap - [ClubBootstrap] 2 club(s) deja presents, seed ignore.
2026-04-27 09:46:00.032 INFO  [restartedMain] club.taekwondo.config.AdminBootstrap - [BOOTSTRAP] variables super-admin absentes, bootstrap ignore.
2026-04-27 09:46:00.032 INFO  [restartedMain] club.taekwondo.config.AdminBootstrap - [BOOTSTRAP] variables admin absentes, bootstrap ignore.
2026-04-27 09:46:00.033 INFO  [restartedMain] club.taekwondo.ClubTaekwondoApplication - ClubTaekwondoApplication demarre.
2026-04-27 09:46:06.960 INFO  [http-nio-8081-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
